character_id,character_name,game_title,release_year,developer,publisher,game_scale,genre,narrative_role,playable_status,gender,sexuality,identity_category,identity_confirmation,queer_status,intersectionality_present,intersectionality_details,evidence_source,notes,character_image,image_credit,image_source_url,source_language,discovery_source,research_status,evidence_confidence,platform_version,last_reviewed,content_availability
11,Arthur Petersen,Life is Strange 2,2018,Dontnod Entertainment,Square Enix,,Graphic adventure,supporting_character,non_playable,man,gay,sexual_orientation,explicit_in_game,confirmed,no,None documented,https://lgbtqgamearchive.com/?p=12200,"Member of the Away community and Stanley's partner; dialogue explicitly discusses being gay, coming out, family rejection, and the continued danger of homophobia.",,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-21,
12,Stanley Petersen,Life is Strange 2,2018,Dontnod Entertainment,Square Enix,,Graphic adventure,supporting_character,non_playable,man,gay,sexual_orientation,explicit_in_game,confirmed,no,None documented,https://lgbtqgamearchive.com/?p=12200,Member of the Away community and Arthur's partner; dialogue explicitly identifies the couple as gay and describes leaving the San Francisco Bay Area after discrimination and personal crisis.,,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-21,
13,Finn McNamara,Life is Strange 2,2018,Dontnod Entertainment,Square Enix,,Graphic adventure,supporting_character,non_playable,man,pansexual,sexual_orientation,explicit_in_game,confirmed,no,None documented,https://lgbtqgamearchive.com/?p=12194,Optional romance for Sean Diaz who explicitly describes attraction without regard to gender; the source also documents unequal content between Finn's and Cassidy's romance routes.,,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-21,
14,Jacob Hackerman,Life is Strange 2,2018,Dontnod Entertainment,Square Enix,,Graphic adventure,supporting_character,non_playable,man,gay,sexual_orientation,explicit_in_game,confirmed,religion,Religious context; family and community response included conversion therapy,https://lgbtqgamearchive.com/?p=12197,Gay character whose parents and Lisbeth encouraged conversion therapy after learning that he liked boys.,,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-21,
15,Sean Diaz,Life is Strange 2,2018,Dontnod Entertainment,Square Enix,,Graphic adventure,protagonist,playable,man,player_defined,sexual_orientation,ambiguous,ambiguous,ethnicity,"Mexican-American protagonist; ethnicity, racism, policing, and the U.S.–Mexico border shape the narrative",https://lgbtqgamearchive.com/?p=12191,"Player choices can define Sean as straight, bisexual, or asexual; these mutually exclusive possibilities are documented as player-defined rather than fixed identity labels. His optional same-gender romance with Finn contains less content than the Cassidy route.",,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-21,
16,Alphys,Undertale,2015,Toby Fox,Toby Fox,Independent,Role-playing game; bullet hell,supporting_character,non_playable,woman,lesbian,sexual_orientation,explicit_in_game,confirmed,no,None documented,https://lgbtqgamearchive.com/2017/02/12/alphys-undyne-in-undertale/,Royal Scientist who forms a romantic relationship with Undyne when encouraged by the player; the good-ending epilogue shows Undyne kissing her on the cheek.,,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-21,
17,Undyne,Undertale,2015,Toby Fox,Toby Fox,Independent,Role-playing game; bullet hell,supporting_character,non_playable,woman,lesbian,sexual_orientation,explicit_in_game,confirmed,no,None documented,https://lgbtqgamearchive.com/2017/02/12/alphys-undyne-in-undertale/,Head of the Royal Guard who forms a romantic relationship with Alphys when encouraged by the player; the good-ending epilogue shows her kissing Alphys on the cheek.,,,,en,LGBTQ Video Game Archive,reviewed,high,,2026-08-21,
18,Frisk,Undertale,2015,Toby Fox,Toby Fox,Independent,Role-playing game; bullet hell,protagonist,playable,non_binary,not_recorded,gender_identity,ambiguous,ambiguous,no,None documented,https://lgbtqgamearchive.com/2017/02/12/frisk-in-undertale/,Playable protagonist addressed exclusively with they/them pronouns. The source categorizes Frisk as non-binary or genderqueer while describing the character's gender identity as ambiguous.,,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-21,
19,Mettaton,Undertale,2015,Toby Fox,Toby Fox,Independent,Role-playing game; bullet hell,supporting_character,non_playable,man,not_recorded,gender_identity,not_explicit_in_game,ambiguous,no,None documented,https://lgbtqgamearchive.com/2017/02/12/mettaton-in-undertale/,A ghost who desired a corporeal body and later refers to his robot body as a masculine form. The source documents this as an implicit transgender reading rather than an explicit in-game identity label.,,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-21,
20,Napstablook,Undertale,2015,Toby Fox,Toby Fox,Independent,Role-playing game; bullet hell,supporting_character,non_playable,non_binary,not_recorded,gender_identity,ambiguous,ambiguous,no,None documented,https://lgbtqgamearchive.com/2017/02/12/napstabook-in-undertale/,Character addressed exclusively with they/them pronouns. The source categorizes Napstablook as non-binary or genderqueer while describing the character's gender identity as ambiguous.,,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-21,
21,Royal Guard 01,Undertale,2015,Toby Fox,Toby Fox,Independent,Role-playing game; bullet hell,antagonist,non_playable,man,gay,sexual_orientation,not_explicit_in_game,ambiguous,no,None documented,https://lgbtqgamearchive.com/2017/02/12/the-royal-guard-in-undertale/,Enemy guard whose battle dialogue implies romantic feelings for Royal Guard 02; an alternate-route battle description refers to the pair as lovers.,,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-21,
22,Royal Guard 02,Undertale,2015,Toby Fox,Toby Fox,Independent,Role-playing game; bullet hell,antagonist,non_playable,man,gay,sexual_orientation,not_explicit_in_game,ambiguous,no,None documented,https://lgbtqgamearchive.com/2017/02/12/the-royal-guard-in-undertale/,Enemy guard paired with Royal Guard 01; their battle dialogue implies a romantic relationship and an alternate-route battle description refers to them as lovers.,,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-21,
23,Bloxer,Deltarune,2018,Toby Fox,Toby Fox,Independent,Role-playing game; bullet hell,antagonist,non_playable,unknown,not_recorded,gender_identity,ambiguous,ambiguous,no,None documented,https://lgbtqgamearchive.com/2019/03/19/bloxer,Enemy whose discomfort with its body's shape and satisfaction after rearrangement can be read as an implicit reference to gender dysphoria or medical transition; the game does not state a transgender identity.,,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-21,
24,Kris,Deltarune,2018,Toby Fox,Toby Fox,Independent,Role-playing game; bullet hell,protagonist,playable,non_binary,not_recorded,gender_identity,ambiguous,ambiguous,no,None documented,https://lgbtqgamearchive.com/2019/03/19/kris,Playable protagonist addressed exclusively with they/them pronouns. The source categorizes Kris as non-binary or genderqueer while describing the character's gender identity as ambiguous.,,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-21,
25,Noelle Holiday,Deltarune,2018,Toby Fox,Toby Fox,Independent,Role-playing game; bullet hell,supporting_character,non_playable,woman,lesbian,sexual_orientation,not_explicit_in_game,ambiguous,no,None documented,https://lgbtqgamearchive.com/2019/03/19/noelle,Kris's classmate and neighbor whose repeated comments about Susie have been interpreted by fans as a crush; the source classifies this as an implicit lesbian reading.,,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-21,
26,Andreas,Ultima VI: The False Prophet,1990,Origin Systems,Origin Systems,,Role-playing,supporting_character,non_playable,man,unknown,other,ambiguous,ambiguous,no,None documented,https://lgbtqgamearchive.com/2015/09/11/bad-gypsies-in-ultima-vi/,"Sex worker who accepts a paid encounter with the Avatar regardless of the Avatar's gender, while stating that he does not ordinarily have sex with men. Transactional behavior is not treated as confirmation of a bisexual identity.",,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-21,
27,Wanda,Ultima VI: The False Prophet,1990,Origin Systems,Origin Systems,,Role-playing,supporting_character,non_playable,woman,unknown,other,ambiguous,ambiguous,no,None documented,https://lgbtqgamearchive.com/2015/09/11/bad-gypsies-in-ultima-vi/,Sex worker who accepts a paid encounter with the Avatar regardless of the Avatar's gender. The source documents behavior rather than an explicit sexual-orientation identity.,,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-21,
28,Frigidazzi,Ultima VII Part Two: Serpent Isle,1993,Origin Systems,Origin Systems,,Role-playing,supporting_character,non_playable,woman,bisexual,sexual_orientation,ambiguous,ambiguous,no,None documented,https://lgbtqgamearchive.com/2015/09/11/fridigazzi-in-ultima-vii/,Mage who seduces the Avatar regardless of the selected gender. The source labels the representation bisexual-vague because the scene may be an unchanged male-default storyline; the encounter also contains coercive behavior if the player rejects her advance.,,,,en,LGBTQ Video Game Archive,reviewed,medium,,2026-08-21,
29,Sven,Ultima V: Lazarus,2005,Team Lazarus,,Independent,Role-playing,supporting_character,non_playable,man,unknown,other,ambiguous,ambiguous,no,None documented,https://lgbtqgamearchive.com/2015/09/11/ultima-v-lazarus/,Pirate NPC available for an optional sexual encounter regardless of the player-character's gender. The source describes a queerly read encounter rather than an explicit orientation label.,,,,en,LGBTQ Video Game Archive,reviewed,medium,PC/Mac,2026-08-21,
30,Abu’l Nuqoud,Assassin’s Creed,2007,Ubisoft Montreal,Ubisoft,AAA,Action-adventure; stealth,antagonist,non_playable,man,gay,sexual_orientation,not_explicit_in_game,ambiguous,no,None documented,https://lgbtqgamearchive.com/2018/05/29/abul-nuqoud-in-assassins-creed/,"Merchant king and assassination target whose dialogue about being treated as different, homoerotic interactions, mannerisms, and affective speech support an implicitly gay reading. The game does not explicitly label his sexuality, and the portrayal relies partly on coding and stereotype.",,,,en,LGBTQ Video Game Archive,reviewed,medium,Base game,2026-08-21,
31,Leonardo da Vinci,Assassin’s Creed: Brotherhood,2010,Ubisoft Montreal,Ubisoft,AAA,Action-adventure; stealth,supporting_character,non_playable,man,gay,sexual_orientation,not_explicit_in_game,confirmed,no,None documented,https://lgbtqgamearchive.com/2018/05/31/leonardo-da-vinci-and-salai-in-assassins-creed-brotherhood/,"Historical figure portrayed as being in a relationship with his apprentice Salaì. The base game heavily implies his attraction to men, while The Da Vinci Disappearance makes the relationship clearer when Ezio expresses his approval.",,,,en,LGBTQ Video Game Archive,reviewed,high,Base game; The Da Vinci Disappearance DLC,2026-08-21,
32,Salaì,Assassin’s Creed: Brotherhood,2010,Ubisoft Montreal,Ubisoft,AAA,Action-adventure; stealth,supporting_character,non_playable,man,gay,sexual_orientation,not_explicit_in_game,confirmed,no,None documented,https://lgbtqgamearchive.com/2018/05/31/leonardo-da-vinci-and-salai-in-assassins-creed-brotherhood/,"Leonardo da Vinci's apprentice and partner. The Da Vinci Disappearance foregrounds Salaì's concern for Leonardo and includes Ezio's approving acknowledgment of their relationship, though no orientation label is spoken in game.",,,,en,LGBTQ Video Game Archive,reviewed,high,The Da Vinci Disappearance DLC,2026-08-21,
33,Harlan Cunningham,Assassin’s Creed III,2012,Ubisoft Montreal,Ubisoft,AAA,Action-adventure; stealth,supporting_character,non_playable,man,gay,sexual_orientation,external_source,confirmed,no,None documented,https://lgbtqgamearchive.com/2018/05/31/harlan-cunningham-and-arend-schut-cunningham-in-assassins-creed-iii/,"Modern-day Assassin whose relationship with Arend Schut Cunningham is expanded in later series material. Assassin’s Creed: Rogue states that they bonded over homophobia experienced as athletes, and Assassin’s Creed: Initiates records their marriage in 2015.",,,,en,LGBTQ Video Game Archive,reviewed,high,Assassin’s Creed III; later canon in Rogue and Initiates,2026-08-21,
34,Arend Schut Cunningham,Assassin’s Creed III,2012,Ubisoft Montreal,Ubisoft,AAA,Action-adventure; stealth,supporting_character,non_playable,man,gay,sexual_orientation,external_source,confirmed,no,None documented,https://lgbtqgamearchive.com/2018/05/31/harlan-cunningham-and-arend-schut-cunningham-in-assassins-creed-iii/,Modern-day Assassin and former MMA fighter who is Harlan Cunningham's partner. Later series material describes the homophobia they experienced as athletes and records their marriage in 2015.,,,,en,LGBTQ Video Game Archive,reviewed,high,Assassin’s Creed III; later canon in Rogue and Initiates,2026-08-21,
35,Marquis de Sade,Assassin’s Creed: Unity,2014,Ubisoft Montreal,Ubisoft,AAA,Action-adventure; stealth,supporting_character,non_playable,man,bisexual,sexual_orientation,external_source,confirmed,class,French nobleman and historical figure,https://lgbtqgamearchive.com/2018/06/01/marquis-de-sade-in-assassins-creed-unity/,Historical figure represented with an altered backstory but with his documented interest in relationships with men and women retained. The source also notes that many of his real-world sexual relationships were abusive; inclusion is descriptive and not celebratory.,,,,en,LGBTQ Video Game Archive,reviewed,medium,Base game,2026-08-21,
36,Chevalier d’Éon,Assassin’s Creed: Unity,2014,Ubisoft Montreal,Ubisoft,AAA,Action-adventure; stealth,supporting_character,non_playable,trans_woman,not_recorded,gender_identity,not_explicit_in_game,ambiguous,no,None documented,https://lgbtqgamearchive.com/2018/06/01/chevalier-deon-in-assassins-creed-unity/,"Historical figure categorized by the source as an implicit transgender woman. The game calls d’Éon a swordswoman and discusses her dresses but also uses masculine pronouns, so Press Q preserves the contradiction rather than treating the in-game language as unambiguous.",,,,en,LGBTQ Video Game Archive,reviewed,medium,Base game,2026-08-21,
37,Jacob Frye,Assassin’s Creed: Syndicate,2015,Ubisoft Quebec,Ubisoft,AAA,Action-adventure; stealth,protagonist,playable,man,bisexual,sexual_orientation,developer_confirmed,confirmed,no,None documented,https://lgbtqgamearchive.com/2018/05/31/jacob-frye-in-assassins-creed-syndicate/,"Playable Master Assassin whose storyline with Maxwell Roth includes flirting, homoerotic subtext, and a kiss. The lead writer described the relationship as intentionally gay, and the official Assassin’s Creed Tumblr identified Jacob as canonically bisexual.",,,,en,LGBTQ Video Game Archive,reviewed,high,Base game,2026-08-21,
38,Maxwell Roth,Assassin’s Creed: Syndicate,2015,Ubisoft Quebec,Ubisoft,AAA,Action-adventure; stealth,antagonist,non_playable,man,gay,sexual_orientation,developer_confirmed,confirmed,no,None documented,https://lgbtqgamearchive.com/2018/05/31/maxwell-roth-in-assassins-creed-syndicate/,"Criminal leader and antagonist whose attraction to Jacob Frye is expressed through flirting and a kiss. The game's lead writer confirmed the intended gay relationship, while the narrative also frames Roth as violent and manipulative.",,,,en,LGBTQ Video Game Archive,reviewed,high,Base game,2026-08-21,
39,Ned Wynert,Assassin’s Creed: Syndicate,2015,Ubisoft Quebec,Ubisoft,AAA,Action-adventure; stealth,supporting_character,non_playable,trans_man,not_recorded,gender_identity,developer_confirmed,confirmed,no,None documented,https://lgbtqgamearchive.com/2018/05/31/ned-wynert-in-assassins-creed-syndicate/,"London businessman and quest giver who is a transgender man. His identity is not made a central plot conflict, but his backstory and developer statements explicitly establish it.",,,,en,LGBTQ Video Game Archive,reviewed,high,Base game,2026-08-21,
40,Lewis,Assassin’s Creed: Syndicate,2015,Ubisoft Quebec,Ubisoft,AAA,Action-adventure; stealth,supporting_character,non_playable,man,gay,sexual_orientation,explicit_in_game,confirmed,no,None documented,https://lgbtqgamearchive.com/2018/05/31/lewis-in-assassins-creed-syndicate/,Minor character who works as Maxwell Roth's aide and is explicitly described by Roth as his former boyfriend.,,,,en,LGBTQ Video Game Archive,reviewed,high,Base game,2026-08-21,
41,Crispin Jettingham,Resident Evil: Operation Raccoon City,2012,Slant Six Games / Capcom,Capcom,AAA,Third-person shooter,supporting_character,playable,man,gay,sexual_orientation,developer_confirmed,confirmed,no,None documented,https://lgbtqgamearchive.com/2015/09/03/crispin-jettingham-in-resident-evil-operation-raccoon-city/,"Crispin “Dee-Ay” Jettingham leads the Echo Six team and is playable in its additional campaign. His sexuality is not stated in the game, but writer Adam Bullied said that he wrote Crispin as a gay man serving under the former U.S. “don't ask, don't tell” policy. Press Q therefore records a confirmed sexual orientation based on development-team testimony while preserving the absence of direct in-game disclosure.",,,,en,LGBTQ Video Game Archive,reviewed,high,Echo Six Expansion Pack DLC,2026-08-21,
42,Iceman (Bobby Drake),Marvel Puzzle Quest,2013,Demiurge Studios,D3 Publisher,Mobile,Puzzle role-playing,supporting_character,playable,man,gay,sexual_orientation,external_source,confirmed,no,None documented,https://lgbtqgamearchive.com/2018/06/21/lgbtq-characters-in-marvel-universe-video-games/,"Bobby Drake was established as gay in Marvel comics in 2015. He was added to Marvel Puzzle Quest later that year, making this the first game roster addition after that disclosure. The game does not itself discuss his sexuality, so the record is confirmed through external Marvel canon rather than in-game dialogue.",,,,en,LGBTQ Video Game Archive,reviewed,high,Roster addition (2015),2026-08-21,
43,Wiccan (Billy Kaplan),Marvel Future Fight,2015,Netmarble Games,Netmarble,Mobile,Action role-playing,supporting_character,playable,man,gay,sexual_orientation,explicit_in_game,confirmed,no,None documented,https://lgbtqgamearchive.com/2018/06/21/lgbtq-characters-in-marvel-universe-video-games/,Wiccan was created as a gay character and is Hulkling's partner. Their 2016 addition to Marvel Future Fight marked the first video-game appearance in which the pair openly discussed their romantic relationship.,,,,en,LGBTQ Video Game Archive,reviewed,high,Roster addition (2016),2026-08-21,
44,Hulkling (Teddy Altman),Marvel Future Fight,2015,Netmarble Games,Netmarble,Mobile,Action role-playing,supporting_character,playable,man,gay,sexual_orientation,explicit_in_game,confirmed,no,None documented,https://lgbtqgamearchive.com/2018/06/21/lgbtq-characters-in-marvel-universe-video-games/,Hulkling was created as a gay character and is Wiccan's partner. Their 2016 addition to Marvel Future Fight marked the first video-game appearance in which the pair openly discussed their romantic relationship.,,,,en,LGBTQ Video Game Archive,reviewed,high,Roster addition (2016),2026-08-21,
45,America Chavez,LEGO Marvel’s Avengers,2016,TT Games,Warner Bros. Interactive Entertainment,AAA,Action-adventure,supporting_character,playable,woman,lesbian,sexual_orientation,external_source,confirmed,no,None documented,https://lgbtqgamearchive.com/2018/06/21/lgbtq-characters-in-marvel-universe-video-games/,"America Chavez is an established lesbian character in Marvel canon. LEGO Marvel’s Avengers was her first video-game appearance, but the game does not discuss her sexual orientation; inclusion is therefore intertextual rather than an explicit disclosure within the game.",,,,en,LGBTQ Video Game Archive,reviewed,medium,Base game,2026-08-21,
46,Loki,Marvel Future Fight,2015,Netmarble Games,Netmarble,Mobile,Action role-playing,supporting_character,playable,genderfluid,bisexual,gender_identity; sexual_orientation,external_source,confirmed,no,None documented,https://lgbtqgamearchive.com/2018/06/21/lgbtq-characters-in-marvel-universe-video-games/,"Marvel canon depicts Loki as genderfluid and bisexual. Marvel Future Fight includes Loki in differently gendered forms, but does not provide a complete in-game statement of identity; the labels rely on external canon while the available forms constitute visible gender variation.",,,,en,LGBTQ Video Game Archive,reviewed,medium,Multiple roster forms,2026-08-21,
47,Union Jack,Marvel Avengers Academy,2016,TinyCo,TinyCo,Mobile,Simulation,supporting_character,playable,man,gay,sexual_orientation,explicit_in_game,confirmed,no,None documented,https://lgbtqgamearchive.com/2018/06/21/lgbtq-characters-in-marvel-universe-video-games/,Union Jack speaks openly about being gay in Marvel Avengers Academy. This record concerns the game-specific disclosure rather than relying only on the character's identity in comics.,,,,en,LGBTQ Video Game Archive,reviewed,high,Base game,2026-08-21,
49,Anole (Victor Borkowski),X-Men: Battle of the Atom,2014,PlayNext,GREE,Mobile,Card-based social game,supporting_character,playable,man,gay,sexual_orientation,explicit_in_game,confirmed,no,None documented,https://lgbtqgamearchive.com/2018/06/21/lgbtq-characters-in-marvel-universe-video-games/,"Anole made his first video-game appearance in X-Men: Battle of the Atom. The game's character description identified him as a gay man, making this an explicit in-game metadata disclosure.",,,,en,LGBTQ Video Game Archive,reviewed,high,Base game,2026-08-21,
50,Benjamin Deeds,X-Men: Battle of the Atom,2014,PlayNext,GREE,Mobile,Card-based social game,supporting_character,playable,man,gay,sexual_orientation,external_source,confirmed,no,None documented,https://lgbtqgamearchive.com/2018/06/21/lgbtq-characters-in-marvel-universe-video-games/,Benjamin Deeds is an established gay Marvel character whose first documented video-game appearance was in this card-based social game. The archive confirms the appearance and external identity but does not report an explicit sexuality statement in his in-game description.,,,,en,LGBTQ Video Game Archive,reviewed,medium,Base game,2026-08-21,
51,Daken (Akihiro),X-Men: Battle of the Atom,2014,PlayNext,GREE,Mobile,Card-based social game,supporting_character,playable,man,bisexual,sexual_orientation,external_source,confirmed,no,None documented,https://lgbtqgamearchive.com/2018/06/21/lgbtq-characters-in-marvel-universe-video-games/; https://en.wikipedia.org/wiki/Daken,"The 2017 archive article labels Daken as gay, but broader and later canon documents attraction to and relationships with more than one gender. Press Q therefore uses bisexual while preserving the older source terminology as a historical qualification. The game itself does not establish his orientation.",,,,en,LGBTQ Video Game Archive; targeted verification,reviewed,medium,Base game,2026-08-21,
